=== Logger: VulkanApp ===
[11:59:33.276] [VulkanApp] [INFO] Vulkan Application Starting

  === Logger: Renderer ===
  [11:59:37.614] [Renderer] [INFO] FPS: 3610.11 | Avg: 2466.46 | Min: 70.10 | Max: 6410.26 | Frames: 7140
  [11:59:37.639] [Renderer] [INFO] FPS: 2469.14 | Avg: 2465.15 | Min: 70.10 | Max: 6410.26 | Frames: 7200
  [11:59:37.665] [Renderer] [INFO] FPS: 3194.89 | Avg: 2464.00 | Min: 70.10 | Max: 6410.26 | Frames: 7260
  [11:59:37.686] [Renderer] [INFO] FPS: 3533.57 | Avg: 2467.38 | Min: 70.10 | Max: 6410.26 | Frames: 7320
  [11:59:37.710] [Renderer] [INFO] FPS: 2747.25 | Avg: 2467.11 | Min: 70.10 | Max: 6410.26 | Frames: 7380
  [11:59:37.735] [Renderer] [INFO] FPS: 1631.32 | Avg: 2466.78 | Min: 70.10 | Max: 6410.26 | Frames: 7440
  [11:59:37.754] [Renderer] [INFO] FPS: 2976.19 | Avg: 2471.35 | Min: 70.10 | Max: 6410.26 | Frames: 7500
  [11:59:37.780] [Renderer] [INFO] FPS: 2732.24 | Avg: 2469.73 | Min: 70.10 | Max: 6410.26 | Frames: 7560
  [11:59:37.808] [Renderer] [INFO] FPS: 2325.58 | Avg: 2466.38 | Min: 70.10 | Max: 6410.26 | Frames: 7620
  [11:59:37.837] [Renderer] [INFO] FPS: 2544.53 | Avg: 2462.96 | Min: 70.10 | Max: 6410.26 | Frames: 7680
  [11:59:37.863] [Renderer] [INFO] FPS: 1019.37 | Avg: 2461.42 | Min: 70.10 | Max: 6410.26 | Frames: 7740
  [11:59:37.888] [Renderer] [INFO] FPS: 2624.67 | Avg: 2461.47 | Min: 70.10 | Max: 6410.26 | Frames: 7800
  [11:59:37.916] [Renderer] [INFO] FPS: 2004.01 | Avg: 2458.65 | Min: 70.10 | Max: 6410.26 | Frames: 7860
  [11:59:37.943] [Renderer] [INFO] FPS: 1919.39 | Avg: 2456.28 | Min: 70.10 | Max: 6410.26 | Frames: 7920
  [11:59:37.975] [Renderer] [INFO] FPS: 2427.18 | Avg: 2451.25 | Min: 70.10 | Max: 6410.26 | Frames: 7980
  [11:59:38.006] [Renderer] [INFO] FPS: 2645.50 | Avg: 2446.40 | Min: 70.10 | Max: 6410.26 | Frames: 8040
  [11:59:38.039] [Renderer] [INFO] FPS: 2770.08 | Avg: 2440.09 | Min: 70.10 | Max: 6410.26 | Frames: 8100
  [11:59:38.071] [Renderer] [INFO] FPS: 2518.89 | Avg: 2434.21 | Min: 70.10 | Max: 6410.26 | Frames: 8160
  [11:59:38.102] [Renderer] [INFO] FPS: 2680.97 | Avg: 2429.61 | Min: 70.10 | Max: 6410.26 | Frames: 8220
  [11:59:38.136] [Renderer] [INFO] FPS: 1785.71 | Avg: 2423.30 | Min: 70.10 | Max: 6410.26 | Frames: 8280
  [11:59:38.167] [Renderer] [INFO] FPS: 1915.71 | Avg: 2418.98 | Min: 70.10 | Max: 6410.26 | Frames: 8340
  [11:59:38.200] [Renderer] [INFO] FPS: 1459.85 | Avg: 2413.06 | Min: 70.10 | Max: 6410.26 | Frames: 8400
  [11:59:38.230] [Renderer] [INFO] FPS: 937.21 | Avg: 2409.76 | Min: 70.10 | Max: 6410.26 | Frames: 8460
  [11:59:38.262] [Renderer] [INFO] FPS: 1074.11 | Avg: 2404.88 | Min: 70.10 | Max: 6410.26 | Frames: 8520
  [11:59:38.295] [Renderer] [INFO] FPS: 1180.64 | Avg: 2399.47 | Min: 70.10 | Max: 6410.26 | Frames: 8580
  [11:59:38.324] [Renderer] [INFO] FPS: 1157.41 | Avg: 2396.98 | Min: 70.10 | Max: 6410.26 | Frames: 8640
  [11:59:38.357] [Renderer] [INFO] FPS: 2403.85 | Avg: 2391.94 | Min: 70.10 | Max: 6410.26 | Frames: 8700
  [11:59:38.388] [Renderer] [INFO] FPS: 2212.39 | Avg: 2387.57 | Min: 70.10 | Max: 6410.26 | Frames: 8760
  [11:59:38.422] [Renderer] [INFO] FPS: 2433.09 | Avg: 2382.00 | Min: 70.10 | Max: 6410.26 | Frames: 8820
  [11:59:38.455] [Renderer] [INFO] FPS: 2732.24 | Avg: 2376.91 | Min: 70.10 | Max: 6410.26 | Frames: 8880
